fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221002 160357	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	169	TRUE	363373	0.0692777510522682	0.388360904955928	869	588	9085	26550000	39
20221002 160450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	363373	0.0913690822664985	0.203567684094995	1040	672	9390	26340000	40
20221002 160558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92	TRUE	363373	0.113852702415585	0.226550941718447	825	609	8934	27100000	41
20221002 163351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	372	TRUE	363373	0.0306073215477815	0.887131846301548	44	593	8792	26900000	42
20221002 171257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2063	TRUE	363373	0.00512395669375308	0.834178258417682	48	657	8754	27140000	43
20221002 171948	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	693	TRUE	363373	0.00522004151845833	0.926969442679322	3456	599	8684	2.6e+07	44
20221002 172423	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	259	TRUE	363373	0.0477887260540755	0.800158973824626	281	729	8790	27140000	45
20221002 172605	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	126	TRUE	363373	0.0402461265903778	0.201196049669703	1010	783	8817	26850000	46
20221002 172701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	363373	0.113164482041287	0.25772914102389	5798	482	8825	25790000	47
20221002 173115	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232	TRUE	363373	0.121853222705926	0.500384824563967	177	761	9166	25590000	48
20221002 173222	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	136	TRUE	363373	0.0421664081342432	0.872820108423695	6140	720	8814	25740000	49
20221002 174117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	363373	0.0249313644175374	0.952400178574252	4	737	8696	24770000	50
